L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,frequency_ratio,actual_f1,predicted_f1,error_f1,actual_f2,predicted_f2,error_f2,actual_f3,predicted_f3,error_f3,actual_f4,predicted_f4,error_f4,actual_peak_displacement,predicted_peak_displacement,error_peak_displacement,actual_rms_displacement,predicted_rms_displacement,error_rms_displacement
1.6847850595223846,0.0273477680291927,0.0060430779952623,214683667678.5342,7899.285515937925,0.0332408160772459,5.017927462454067,5.149560634351778,0.65,2.0,0.002,4,5.032734798598193,20.130939194392774,45.29461318738374,80.5237567775711,0.0527325291980679,0.0280424458243544,1.0232131913221665,5.032734798598193,5.1815085,-0.1487737425089843,20.130939194392774,20.671368,-0.5404284508708983,45.29461318738374,46.56298,-1.26836746447173,80.5237567775711,82.84409,-2.320336545182812,0.0527325291980679,0.026373154,0.0263593756456549,0.0280424458243544,0.013572093,0.0144703527249987
2.9511703417530266,0.0480940721394493,0.0066180382760944,208829572385.88815,7984.587281793375,0.0400414821862411,6.279608260252712,2.289892841565216,0.65,2.0,0.002,4,1.7621372684560792,7.048549073824317,15.859235416104712,28.194196295297267,0.0604082119985348,0.0303357724565455,1.2994974242679387,1.7621372684560792,1.6092635,0.1528737291418092,7.048549073824317,6.317883,0.7306660591453618,15.859235416104712,14.095631,1.7636047703527584,28.194196295297267,26.127993,2.0662036652923845,0.0604082119985348,0.034002293,0.0264059190972572,0.0303357724565455,0.017583631,0.0127521414774843
2.003695146635013,0.0218688153841495,0.0092209316719182,206274402014.57928,7653.840959863297,0.0370620294671937,6.2517237399869,5.263046232317946,0.65,2.0,0.002,4,5.406593487330929,21.62637394932372,48.65934138597837,86.50549579729487,0.0452556505234549,0.0249833880349037,0.9734495934733485,5.406593487330929,5.141563,0.2650305486407438,21.62637394932372,20.484648,1.1417261984692288,48.65934138597837,46.143917,2.515424302238138,86.50549579729487,82.341194,4.164301644462839,0.0452556505234549,0.026456974,0.0187986760766813,0.0249833880349037,0.013749116,0.0112342719345328
2.37253771035544,0.0670361553520075,0.0059881110193412,204398423812.0244,7916.171862405229,0.0101593804000371,9.026358955376809,2.320373317270184,0.65,2.0,0.002,4,2.451173278605219,9.804693114420877,22.06055950744697,39.21877245768351,0.1549682266181138,0.0712397021824571,0.9466378152549607,2.451173278605219,2.729861,-0.2786877424366509,9.804693114420877,10.810441,-1.0057479027300025,22.06055950744697,23.9309,-1.8703410662834976,39.21877245768351,44.478024,-5.259251071369228,0.1549682266181138,0.12034867,0.0346195570295479,0.0712397021824571,0.060662992,0.010576709883854
2.6310098189245985,0.0624534912933277,0.0088133143169776,198649476027.79456,7864.281999154464,0.0314511240703236,8.862466310518299,3.0551551415659883,0.65,2.0,0.002,4,2.90160137349155,11.6064054939662,26.114412361423955,46.4256219758648,0.0643182230866209,0.0322949355780003,1.052920352698091,2.90160137349155,2.9463947,-0.0447933084389919,11.6064054939662,11.825166,-0.2187602546299913,26.114412361423955,26.529243,-0.4148311078143258,46.4256219758648,47.208897,-0.7832746610980905,0.0643182230866209,0.04302459,0.0212936347103372,0.0322949355780003,0.022112899,0.0101820370494244
2.0300258228548023,0.0241085770233366,0.0054697689780693,214419553396.61533,7689.713390335259,0.0286564557507694,7.790210698660789,2.084156571284536,0.65,2.0,0.002,4,3.178134187154344,12.712536748617376,28.603207684389098,50.85014699446951,0.0563825542148672,0.02854838595282,0.655779916313307,3.178134187154344,3.400501,-0.22236682564778,12.712536748617376,13.613893,-0.9013558066194404,28.603207684389098,30.902481,-2.299273394712465,50.85014699446951,53.996372,-3.146225228430879,0.0563825542148672,0.037734058,0.018648496460589,0.02854838595282,0.01885074,0.0096976459075109
2.913770473835525,0.026552082824122,0.0050605679810162,193197744565.52237,7686.620037912005,0.0299124450173512,2.874924424643744,1.9494209528928212,0.65,2.0,0.002,4,1.3550370193236496,5.420148077294599,12.195333173912848,21.680592309178397,0.0863990689536571,0.0410992394309355,1.438647745480674,1.3550370193236496,1.2559224,0.0991145826094772,5.420148077294599,4.861962,0.5581862357113474,12.195333173912848,10.784733,1.4106003553093327,21.6805923091784,20.460695,1.2198970424547646,0.0863990689536571,0.059382018,0.0270170512517928,0.0410992394309355,0.031938493,0.0091607461791349
1.871555454512986,0.0664105741022621,0.0050103688387061,200041064458.26773,7673.736325425524,0.0341078885624945,6.835651743412401,3.649574312436091,0.65,2.0,0.002,4,3.311690133209241,13.246760532836966,29.80521119888318,52.98704213134786,0.0439182921568043,0.025475870964637,1.1020277156484501,3.311690133209241,3.3595445,-0.0478543824005002,13.246760532836966,13.307174,-0.0604131961059053,29.80521119888318,29.86552,-0.0603092784117436,52.98704213134786,53.937237,-0.9501946545408088,0.0439182921568043,0.032583967,0.0113343253055698,0.025475870964637,0.016631467,0.008844403696766
2.811094096870918,0.0538081697637488,0.0060177317435599,190833017377.876,7883.287592163506,0.0272333582589053,5.530664627934899,2.1642175294615225,0.65,2.0,0.002,4,1.69896481582231,6.79585926328924,15.290683342400792,27.18343705315696,0.0668823166447299,0.0347879305254752,1.273844819684525,1.69896481582231,1.6239568,0.0750080163151689,6.79585926328924,6.26883,0.5270294407489571,15.290683342400792,14.013081,1.2776027454769636,27.18343705315696,26.374636,0.8088013567458283,0.0668823166447299,0.05032809,0.016554225857796,0.0347879305254752,0.02624262,0.0085453111451203
2.4429668056319898,0.0524124195904895,0.0061726122382197,201743309938.4937,7621.635149150771,0.0081813247699204,4.906115282499394,2.653417986003088,0.65,2.0,0.002,4,2.4128960423994736,9.651584169597896,21.716064381595263,38.60633667839158,0.0867504660468966,0.0448129175148035,1.0996818509281612,2.4128960423994736,2.336631,0.0762649827528672,9.651584169597896,9.311406,0.3401780340388143,21.716064381595263,21.011486,0.7045783281284663,38.60633667839158,37.308064,1.2982731713115,0.0867504660468966,0.07349028,0.0132601891141802,0.0448129175148035,0.03778301,0.0070299057207132
