L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,frequency_ratio
2.7738623385963743,0.0546184692246619,0.0067449065042694,180103144419.46344,7798.768612900579,0.0477154459455962,5.768956528970639,1.6643549923032863,0.65,2.0,0.002,4,1.910218337703884,7.640873350815536,17.191965039334956,30.563493403262143,0.0798531886253248,0.0442491799354154,0.8712904485588125
2.955495735286592,0.0614850555817849,0.0057832243262351,183705112349.67896,7635.267242769663,0.0478680016951374,6.872110258054118,1.4279743275510723,0.65,2.0,0.002,4,1.4726078748301343,5.890431499320537,13.25347087347121,23.56172599728215,0.1865797167563869,0.0906129811427723,0.9696908131200843
2.8901587707428043,0.0218366365736141,0.0069941465491106,203551481262.4196,7880.562744819352,0.0162807345279076,5.58530385922435,1.4918051395694352,0.65,2.0,0.002,4,1.9296524585306325,7.718609834122529,17.366872126775693,30.87443933649012,0.143183075743151,0.0775230263612293,0.7730952446770628
2.7524542216790078,0.0361296331333094,0.0060479663896221,203994713793.10315,7642.828229132647,0.0174498828919918,5.121145291179535,1.3380072984332454,0.65,2.0,0.002,4,1.870168858803665,7.48067543521466,16.831519729232987,29.92270174085864,0.0819385471168164,0.0411278833698456,0.7154473202431357
2.52784101362926,0.0625922752662304,0.0099653321724514,205023318981.53757,7678.114991789254,0.0168632473671069,9.479340129634716,3.448588058078513,0.65,2.0,0.002,4,3.654229721327012,14.61691888530805,32.88806749194311,58.4676755412322,0.051691310956815,0.026566094994101,0.9437250312840701
2.878726629745506,0.0293957629712332,0.0069124563644984,196517741209.31625,7650.244467785044,0.0491193010627303,4.300613236097336,2.224686284523248,0.65,2.0,0.002,4,1.917008468277949,7.668033873111796,17.25307621450154,30.672135492447183,0.0878742704569879,0.0508478646153363,1.1604989343222287
2.949558856115305,0.0635682429845845,0.0090036246444645,194858867606.7213,7768.993170731514,0.0386390175864728,9.264402941018886,1.8298702227135024,0.65,2.0,0.002,4,2.35022920879472,9.40091683517888,21.15206287915248,37.60366734071552,0.0393891706975669,0.0208291045188379,0.7785922393722288
2.34729107323243,0.0366629909497522,0.0050361221572544,193779848749.82416,7881.916937045176,0.0226900977354135,2.2698239825669373,2.1274503909800857,0.65,2.0,0.002,4,2.055085973228175,8.2203438929127,18.495773759053574,32.8813755716508,0.0967923034095716,0.0451798347561757,1.0352123554413828
2.743024644155529,0.0473905359072176,0.0061548165879951,210913129461.16745,7864.061767513227,0.0342246997746149,4.326448617182054,1.80355833521144,0.65,2.0,0.002,4,1.9209377907675669,7.683751163070267,17.288440116908102,30.735004652281063,0.1084349119738407,0.0527595580646875,0.9388947127177791
2.9709882515511694,0.030937120939437,0.0069100015925997,209158880240.023,7910.974064006985,0.0352523096453597,7.78433870472326,2.6442761969402864,0.65,2.0,0.002,4,1.8252766845709956,7.301106738283981,16.42749016113896,29.20442695313593,0.0749423490990478,0.0370125780988871,1.4486988297677097
2.571853067667078,0.0617225633398078,0.005799377676835,208931533432.60812,7779.451523384675,0.0121052489871472,3.0217475037975605,2.27066353285732,0.65,2.0,0.002,4,2.060372982212989,8.241491928851955,18.5433568399169,32.96596771540782,0.0583653808590565,0.0286117134115168,1.1020643118793296
2.984539857344658,0.0435792142850563,0.0063379312812116,203244592578.9573,7967.856029050516,0.0404013064487787,8.378561260953642,3.0485416749649104,0.65,2.0,0.002,4,1.6295240503542363,6.518096201416946,14.66571645318813,26.072384805667784,0.0399771345245027,0.019455992884103,1.870817232984195
2.460580535965832,0.0637442432847824,0.0080227936990811,197963725454.4475,7924.469876411655,0.0221688576743289,9.844125661170295,2.572608263948874,0.65,2.0,0.002,4,3.0032218144831826,12.01288725793273,27.028996330348644,48.05154903173092,0.0441524424007152,0.0241605562447041,0.8566161352259584
2.832655631867912,0.0576519115293963,0.005476753732151,200439976582.4644,7634.319579131755,0.0308187808228778,5.138721011376044,0.5536690204691481,0.65,2.0,0.002,4,1.5858857988573962,6.343543195429585,14.272972189716567,25.37417278171834,0.0360333399437392,0.0195843756797889,0.3491228819048996
2.718994710161375,0.0679111309782909,0.0050258696638447,199511765396.70068,7705.846630431691,0.0088804812365462,8.47734082320297,0.3361546401752642,0.65,2.0,0.002,4,1.5685480449592062,6.274192179836825,14.116932404632855,25.0967687193473,0.0425297231493675,0.0267211607510996,0.2143094317420202
2.1897372293588027,0.0327280385253812,0.0077687704373696,205577758159.45068,7684.027658823762,0.0298889340764398,8.364638098524631,3.4264259193469147,0.65,2.0,0.002,4,3.800066014741427,15.200264058965708,34.20059413267285,60.80105623586283,0.0595717328857461,0.0345168229711722,0.9016753672317621
2.5883984413059977,0.0505125685566491,0.0061279935811771,207230083921.91165,7799.740722347387,0.0142213910499915,8.789252493679314,1.5488175482115552,0.65,2.0,0.002,4,2.13782235837306,8.551289433492238,19.240401225357537,34.20515773396895,0.0777769844597884,0.0377539289870764,0.7244837449404574
2.4189727774426526,0.0704273808237491,0.0065792771349593,185034526174.80264,7712.418965754891,0.0055371116918898,9.861907813938576,3.189323036889269,0.65,2.0,0.002,4,2.4973335498373874,9.98933419934955,22.47600194853649,39.9573367973982,0.0443260961939478,0.0213176922419789,1.2770913349147694
