model,training_percentage,training_samples,repeat,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
physics_guided_NN,100,3500,1,rms_displacement,0.0017101160038370945,0.0005192628843105787,0.9770114365032601,750,0.0005686249933205545
standard_NN,100,3500,2,f1,0.4531007806913553,0.3026980331714488,0.9962754819046815,750,0.0005611669912468642
standard_NN,100,3500,2,f2,1.7830646012279845,1.1960378955408348,0.9963950882179878,750,0.0005611669912468642
standard_NN,100,3500,2,f3,3.9664915811913266,2.6781543592444255,0.9964762221406296,750,0.0005611669912468642
standard_NN,100,3500,2,f4,7.094015861825072,4.773435551285434,0.9964336430170632,750,0.0005611669912468642
standard_NN,100,3500,2,peak_displacement,0.0160559671651307,0.004991141895964197,0.4878933857682636,750,0.0005611669912468642
standard_NN,100,3500,2,rms_displacement,0.008086987164870609,0.00257160656373587,0.4859158677272024,750,0.0005611669912468642
physics_guided_NN,100,3500,2,f1,0.15316398185879776,0.11881314330297575,0.9995744076976305,750,0.0005771249998360872
physics_guided_NN,100,3500,2,f2,0.6308949777288355,0.47900606939130624,0.9995486903441705,750,0.0005771249998360872
physics_guided_NN,100,3500,2,f3,1.405968467752282,1.0962092281584077,0.9995572621923781,750,0.0005771249998360872
physics_guided_NN,100,3500,2,f4,2.4596676344805424,1.8966141376574572,0.9995712606399489,750,0.0005771249998360872
physics_guided_NN,100,3500,2,peak_displacement,0.0035377402525754334,0.0010184436847770412,0.975137813008589,750,0.0005771249998360872
physics_guided_NN,100,3500,2,rms_displacement,0.0019220651197383984,0.0005188397478812714,0.9709599816458601,750,0.0005771249998360872
standard_NN,100,3500,3,f1,0.6311108240824059,0.3926040453429952,0.992774103691135,750,0.0005364999960875139
standard_NN,100,3500,3,f2,2.5871485578009192,1.597456267155807,0.9924106738054256,750,0.0005364999960875139
standard_NN,100,3500,3,f3,5.735870327866188,3.420252974334116,0.9926312453254789,750,0.0005364999960875139
standard_NN,100,3500,3,f4,10.299848399223082,6.65859680563068,0.992482002666725,750,0.0005364999960875139
standard_NN,100,3500,3,peak_displacement,0.015446634528881988,0.0058461464948848605,0.5260252733913279,750,0.0005364999960875139
standard_NN,100,3500,3,rms_displacement,0.007769813981338554,0.0030914754178939284,0.5254500474925308,750,0.0005364999960875139
physics_guided_NN,100,3500,3,f1,0.16821936510904154,0.13272553879102794,0.9994866276822986,750,0.0005790839932160452
physics_guided_NN,100,3500,3,f2,0.6854728286396738,0.5418333536097365,0.9994672285130359,750,0.0005790839932160452
physics_guided_NN,100,3500,3,f3,1.5360111466069841,1.2079889417431677,0.9994715739933244,750,0.0005790839932160452
physics_guided_NN,100,3500,3,f4,2.7791349656395576,2.2564363598972754,0.9994526567343694,750,0.0005790839932160452
physics_guided_NN,100,3500,3,peak_displacement,0.0041519034073302374,0.001265548048877391,0.9657562021284426,750,0.0005790839932160452
physics_guided_NN,100,3500,3,rms_displacement,0.0020576681978764955,0.0006572604537264229,0.9667178493305257,750,0.0005790839932160452
