model,frequency_ratio,distance_from_resonance,test_region,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,peak_displacement,0.005076383454547631,0.0017617465535760411,0.9546964957641986,750,0.0006815000015194528
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,rms_displacement,0.003274949924681855,0.0010739317724958021,0.9378263739470964,750,0.0006815000015194528
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,f1,0.1604781328424367,0.1205715361548177,0.999532789931809,750,0.0006743749981978908
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,f2,0.6379056000001043,0.48420342834879065,0.9995386045425679,750,0.0006743749981978908
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,f3,1.4476362264502824,1.1015815794615995,0.9995306310743123,750,0.0006743749981978908
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,f4,2.5318304764122157,1.8895076539402456,0.9995457345061228,750,0.0006743749981978908
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,peak_displacement,0.01712093012144271,0.005979086711759654,0.8120640665072932,750,0.0006743749981978908
physics_guided_NN,0.9,0.09999999999999998,unseen_near_resonance,rms_displacement,0.008655481643095372,0.0034606864446630717,0.8150707602998783,750,0.0006743749981978908
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,f1,0.18070913575687253,0.13634286050602828,0.9994075650306933,750,0.0006826669996371493
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,f2,0.7141528363788071,0.5440169727891196,0.9994217138169924,750,0.0006826669996371493
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,f3,1.63858355285134,1.253204914471813,0.9993986426388494,750,0.0006826669996371493
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,f4,2.8563310729561895,2.1338640883657174,0.9994218272869593,750,0.0006826669996371493
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,peak_displacement,0.02513697277774922,0.010540882927533343,0.7281317740751863,750,0.0006826669996371493
physics_guided_NN,0.95,0.050000000000000044,unseen_near_resonance,rms_displacement,0.011246307901293178,0.005370747038880064,0.7576308996843244,750,0.0006826669996371493
physics_guided_NN,1.0,0.0,unseen_near_resonance,f1,0.20536402751543403,0.1561562227962435,0.9992348806005115,750,0.0006849589990451932
physics_guided_NN,1.0,0.0,unseen_near_resonance,f2,0.8025162944421161,0.6158465679139575,0.9992697556535687,750,0.0006849589990451932
physics_guided_NN,1.0,0.0,unseen_near_resonance,f3,1.8821716167317573,1.4334443265065413,0.9992065603695426,750,0.0006849589990451932
physics_guided_NN,1.0,0.0,unseen_near_resonance,f4,3.265259577526187,2.427478574756012,0.9992444278767039,750,0.0006849589990451932
physics_guided_NN,1.0,0.0,unseen_near_resonance,peak_displacement,0.02800366653630131,0.013653069978514874,0.7006324549050706,750,0.0006849589990451932
physics_guided_NN,1.0,0.0,unseen_near_resonance,rms_displacement,0.01173690779598609,0.006184791607180145,0.7522150786743143,750,0.0006849589990451932
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,f1,0.18484625244869776,0.13997115520337272,0.9993801283588966,750,0.0006463750032708049
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,f2,0.7128990578356215,0.5455182377910964,0.999423742532199,750,0.0006463750032708049
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,f3,1.6652471217964695,1.286470206865878,0.99937891243785,750,0.0006463750032708049
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,f4,2.887528186976192,2.146798867922908,0.9994091286030647,750,0.0006463750032708049
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,peak_displacement,0.02438159274843227,0.010089609277787863,0.7358470042628786,750,0.0006463750032708049
physics_guided_NN,1.05,0.050000000000000044,unseen_near_resonance,rms_displacement,0.010935254311457608,0.005205482035456469,0.7627833080440419,750,0.0006463750032708049
physics_guided_NN,1.1,0.10000000000000009,unseen_near_resonance,f1,0.1704599204631379,0.12964623388690616,0.999472861142948,750,0.0009980839968193322
physics_guided_NN,1.1,0.10000000000000009,unseen_near_resonance,f2,0.6503776995790349,0.4997549523221021,0.9995203860922928,750,0.0009980839968193322
physics_guided_NN,1.1,0.10000000000000009,unseen_near_resonance,f3,1.523814126350063,1.1831574998619425,0.9994799328296483,750,0.0009980839968193322
