L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,sample_id,source_split,original_excitation_frequency,frequency_ratio_target,distance_from_resonance,resonance_test_region,first_natural_frequency,modal_stiffness,modal_mass,frequency_ratio,resonance_proximity
1.5531440273138055,0.0218125968945242,0.017237500329899,187058405658.77228,7620.722046255949,0.0390144978871646,3.5654279014924906,22.096383453704576,0.65,2.0,0.002,4.0,16.053533292196867,64.21413316878747,144.48179962977184,256.8565326751499,0.0003093005423639689,0.00011515627910764325,16,train,14.461042215429297,1.3764187018221685,0.3764187018221685,seen_off_resonance,16.053533292196867,22639.171047156375,2.225151154627725,1.3764187018221685,0.3764187018221685
1.2100635760244691,0.0316831208075376,0.0081562041323202,216457540246.8188,7631.209522210383,0.0388025616825407,2.9482758071867434,3.892291459845342,0.65,2.0,0.002,4.0,13.452116950992888,53.80846780397155,121.06905255893598,215.2338712158862,0.0003165136699275017,0.00018390357938198365,17,train,16.793383495553336,0.2893441585458455,0.7106558414541545,seen_off_resonance,13.452116950992888,8523.70902968039,1.193129573641382,0.2893441585458455,0.7106558414541545
1.137089755846757,0.0641884674436284,0.014518139029461,199174190888.0454,7619.336541990421,0.0465607137376533,4.8266657903747525,45.78217145201138,0.65,2.0,0.002,4.0,26.032067615899397,104.12827046359759,234.2886085430946,416.51308185439035,3.266963181805428e-05,1.0196285786600199e-05,18,train,23.931085288978327,1.758683640789615,0.7586836407896149,seen_off_resonance,26.032067615899397,108000.78930551255,4.036917419966655,1.758683640789615,0.7586836407896149
1.8149523828387997,0.0766725036211211,0.007425675987718,201093999635.35605,7846.931851592365,0.0327821591821538,6.6028291648323885,7.680949428694258,0.65,2.0,0.002,4.0,5.174690673303114,20.698762693212455,46.57221605972803,82.79505077284982,0.0027967631368656367,0.001141284159501554,19,train,6.939207927983314,1.4843301587708906,0.4843301587708906,seen_off_resonance,5.174690673303114,4285.872879620509,4.0542521955095125,1.4843301587708906,0.4843301587708906
2.008285573720753,0.0352490698172743,0.0055888718228349,203405639176.87436,7760.498945924513,0.0225774616745673,9.968446679389952,5.344328850229381,0.65,2.0,0.002,4.0,3.2169116887073748,12.867646754829499,28.95220519836637,51.470587019317996,0.025654094799478982,0.010845581370616877,20,train,1.290661183559883,1.6613228361195234,0.6613228361195234,seen_off_resonance,3.2169116887073748,627.1839583406814,1.535171600106629,1.6613228361195234,0.6613228361195234
2.9450814857787933,0.0212661249442886,0.0070553110158597,208485641950.5712,7732.029454937022,0.0078697909179698,3.079485548218398,1.3337093076595907,0.65,2.0,0.002,4.0,1.915323388405148,7.661293553620592,17.237910495646332,30.645174214482367,0.06564038542903179,0.03183595909995627,21,train,0.685475979805846,0.6963363553818158,0.3036636446181842,seen_off_resonance,1.915323388405148,247.40547417633965,1.7083047329161742,0.6963363553818158,0.3036636446181842
1.276580691631079,0.0205046165623088,0.0197979238457843,196426011278.50992,7678.410276509274,0.0103402193159974,3.767077684548621,54.58151568032313,0.65,2.0,0.002,4.0,27.862251142457115,111.44900456982846,250.76026028211405,445.79601827931384,4.050155862628553e-05,1.3799159617235112e-05,22,train,54.5157932378064,1.9589772341528646,0.9589772341528646,seen_off_resonance,27.862251142457115,60975.17186022863,1.9895776394216667,1.9589772341528646,0.9589772341528646
2.3970144002774427,0.0658405244664313,0.0194874153681239,214559844606.35355,7729.521878295142,0.0377269129949918,0.8520477892585451,14.993347100335585,0.65,2.0,0.002,4.0,8.102893251504506,32.411573006018024,72.92603926354055,129.6462920240721,3.7980154496254215e-05,1.3180683583822655e-05,23,train,3.60718397554053,1.8503695698510767,0.8503695698510767,seen_off_resonance,8.102893251504506,30809.22498976782,11.886138925799687,1.8503695698510767,0.8503695698510767
2.9151848683883435,0.0381597993428857,0.0197924198593344,195135040592.21484,7679.889398808413,0.0100528803410107,7.87112294155296,8.995083162830525,0.65,2.0,0.002,4.0,5.3233631724790555,21.293452689916222,47.91026855231151,85.17381075966489,0.001935891947775817,0.0008335031123241414,24,train,6.381039420832841,1.6897368959032666,0.6897368959032666,seen_off_resonance,5.3233631724790555,9458.62432867504,8.454658075845082,1.6897368959032666,0.6897368959032666
1.6442772069598948,0.0546262100953322,0.0063005528068747,212295628201.206,7983.634783548271,0.0092399686085141,7.34283069842395,2.574687382590648,0.65,2.0,0.002,4.0,5.44914081838972,21.79656327355888,49.042267365507485,87.18625309423552,0.004568006896739571,0.002497231638339523,25,train,9.533326104790438,0.47249419099275464,0.5275058090072453,seen_off_resonance,5.44914081838972,2648.141750011033,2.2590478456737855,0.4724941909927547,0.5275058090072453
1.0971534756597152,0.0564525065972496,0.0153263639827852,209253501985.75052,7689.737359458502,0.0440825072882784,6.933852856576172,37.74915078342012,0.65,2.0,0.002,4.0,30.117175303036092,120.46870121214437,271.05457772732484,481.87480484857747,9.93561142312779e-05,4.0999404636345445e-05,26,train,9.094495314701868,1.2534094052178477,0.2534094052178477,seen_off_resonance,30.117175303036092,130695.14965020667,3.649818430759178,1.2534094052178477,0.2534094052178477
1.947187514448688,0.0357448970064292,0.0129928568221147,202865764848.16608,7908.672863972189,0.0259739339034027,7.887714338219768,2.056611884597262,0.65,2.0,0.002,4.0,7.869931094125417,31.479724376501668,70.82937984712876,125.91889750600667,0.0012666771975822027,0.0007529138502452939,27,train,2.554883436725341,0.2613252721021203,0.7386747278978797,seen_off_resonance,7.869931094125417,8743.829717779117,3.5760212829800224,0.2613252721021203,0.7386747278978797
2.272992239354336,0.028388348819572,0.0104335091548783,202217036607.66156,7815.304972514868,0.0423785309039918,9.328500462022504,1.9377534000553793,0.65,2.0,0.002,4.0,4.658001837439347,18.632007349757387,41.92201653695412,74.52802939902955,0.008337183989651959,0.004671351188158184,28,train,1.773923466561611,0.416005288894567,0.583994711105433,seen_off_resonance,4.658001837439347,2253.426873996959,2.6307793338555863,0.416005288894567,0.583994711105433
1.071664326891283,0.0650892494997173,0.0170383567949658,188544899034.86475,7795.9596134629855,0.0352396750491445,7.451151263949621,51.48687746218361,0.65,2.0,0.002,4.0,33.08354330855933,132.3341732342373,297.75188977703397,529.3366929369492,3.553260365549674e-05,1.1676883198886065e-05,29,train,64.34712715701,1.5562685345394365,0.5562685345394365,seen_off_resonance,33.08354330855933,200179.27069787224,4.632712312636796,1.5562685345394365,0.5562685345394365
2.433245513454626,0.0655991006897691,0.013623035630416,214517054998.19315,7716.42014098026,0.0446727749559288,7.321163550033111,9.036573835345411,0.65,2.0,0.002,4.0,5.501159842398994,22.004639369595974,49.51043858159095,88.0185574783839,0.0013792449465377208,0.0005001150540216896,30,train,9.009522826370809,1.642667018270944,0.642667018270944,seen_off_resonance,5.501159842398994,10023.325741673614,8.389644906912435,1.642667018270944,0.642667018270944
1.044921890881804,0.0241026467220944,0.0169102564766403,195057794167.6388,7867.372750983619,0.0382631732169421,4.279623357498382,68.34665846292947,0.65,2.0,0.002,4.0,34.968627270974366,139.87450908389746,314.7176454387693,559.4980363355899,2.6274172514024123e-05,8.30126040914162e-06,31,train,16.018678850082548,1.954513625407894,0.9545136254078941,seen_off_resonance,34.968627270974366,80875.20484988921,1.6753227616618651,1.9545136254078943,0.9545136254078943
1.2732318487594618,0.0748212165286176,0.0159860936284071,182650794418.6096,7962.279980055775,0.0126709335508297,1.0675288165718324,14.05256018194321,0.65,2.0,0.002,4.0,21.416508970969797,85.66603588387919,192.7485807387282,342.66414353551676,1.8941358782404543e-05,8.968120847108168e-06,32,train,10.960764033893806,0.6561555013934128,0.34384449860658717,seen_off_resonance,21.416508970969797,109784.02664076645,6.062923103413931,0.6561555013934128,0.34384449860658717
2.8433130954140227,0.0443926549103143,0.0112989783207185,214041423191.89325,7812.208447218384,0.0102701204720239,1.2372470829082147,2.383936141287301,0.65,2.0,0.002,4.0,3.317271843241513,13.269087372966052,29.855446589173617,53.07634949186421,0.002796583917754394,0.0014309082263857483,33,train,1.446447719409112,0.7186435884488165,0.2813564115511835,seen_off_resonance,3.317271843241513,2420.140994579306,5.570815901023267,0.7186435884488165,0.2813564115511835
1.1095392131508826,0.0663539082781165,0.0104167094719453,211858416604.0505,7979.920828914341,0.0061957944646464,9.646498166845388,24.857873203058155,0.65,2.0,0.002,4.0,19.769608278989722,79.07843311595889,177.9264745109075,316.31373246383555,0.0004751680877102062,0.00019046584183917128,34,train,9.852569431601047,1.257378135786131,0.2573781357861309,seen_off_resonance,19.769608278989722,47213.27940464461,3.059907529385456,1.257378135786131,0.2573781357861309
