L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement
1.4791550792147024,0.0467307482164151,0.0156959017537431,215533209153.2889,7857.218249322606,0.0159244927273958,1.5482988667923392,29.215753986154017,0.65,2.0,0.002,4,17.03769332013914,68.15077328055656,153.3392398812523,272.60309312222626,3.508815567666757e-05,1.1595061753482897e-05
2.526774108286567,0.0238612569029923,0.0060284017409727,215552659320.3865,7920.17992492738,0.0446703439938972,6.540082681114261,1.7434807572920294,0.65,2.0,0.002,4,2.2336122009165944,8.934448803666378,20.10250980824935,35.73779521466551,0.1175592895598032,0.064357462580351
2.121758640720712,0.030548949583117,0.0065719729972029,188893157103.4112,7739.483515558593,0.0056324159564038,6.955312623443572,2.1123057568124404,0.65,2.0,0.002,4,3.2702818817406643,13.081127526962655,29.43253693566598,52.32451010785063,0.0325960970587502,0.0162687595946792
2.253649965568417,0.0648361880115241,0.0184203183030172,190903459896.63568,7644.289703440222,0.0480220996785183,1.6287885714192103,4.567838874077456,0.65,2.0,0.002,4,8.218485436304732,32.87394174521893,73.96636892674259,131.49576698087571,0.0001469275336099,7.807269455392076e-05
2.913777200632384,0.0314311836192441,0.0077477090545051,197801411833.2613,7675.722543680227,0.0120518805328523,1.0492074232407465,2.8406690014931586,0.65,2.0,0.002,4,2.1006076156423985,8.402430462569594,18.90546854078159,33.609721850278376,0.0096994823473496,0.0047038623423426
1.661015550550641,0.0209345086572127,0.0120364814086689,210680634739.12045,7640.088015098378,0.0380850211397312,5.883533144214078,11.513245100815157,0.65,2.0,0.002,4,10.388301240435023,41.5532049617401,93.49471116391524,166.2128198469604,0.0047070569935425,0.0024519420449833
1.8421755653179703,0.0419480524759182,0.0151494202835025,210212269946.9625,7674.344630929835,0.0158470341433917,1.54789991482008,16.625031391109225,0.65,2.0,0.002,4,10.594284103153027,42.37713641261211,95.34855692837723,169.50854565044844,0.0001337629170126,4.9267189752925776e-05
1.2035975712611722,0.0349726283336563,0.0139176120437307,182454111493.63297,7820.033858940575,0.0313021146107304,2.9805750951715493,15.31120345934178,0.65,2.0,0.002,4,21.042817338995118,84.17126935598046,189.38535605095603,336.6850774239218,0.0001617922548889,7.695814801966805e-05
2.229473488376578,0.0450352165915211,0.0135776296478166,186143191163.44455,7895.90801062646,0.0083757788308194,7.324829593733541,10.393345526852766,0.65,2.0,0.002,4,6.014106648765396,24.056426595061584,54.126959838888574,96.22570638024634,0.0016070469052905,0.0007075473993682
2.2574561126895576,0.0491736463588714,0.0159979199101259,183035801575.15485,7953.108683538511,0.0129981286092834,0.3116781022093606,5.819960875628311,0.65,2.0,0.002,4,6.828946407895421,27.315785631581683,61.46051767105879,109.26314252632672,0.0001844146050694,8.914934304853126e-05
1.413189800065164,0.0620299295292769,0.0168254436647816,213609079010.84903,7935.8119754158815,0.0407381789974093,4.632221714650025,26.222989393822544,0.65,2.0,0.002,4,19.82024230586488,79.28096922345951,178.3821807527839,317.12387689383803,0.0001018807245214,3.972908134097176e-05
2.1045062406880195,0.0327044661665675,0.0172917613331695,199944001535.68503,7613.551118057023,0.0357356730402049,9.50991307104679,15.354999700606692,0.65,2.0,0.002,4,9.072534043726252,36.29013617490501,81.65280639353627,145.16054469962003,0.0010020609109402,0.0003393774334686
1.297125851588879,0.045413074003679,0.0125599784480552,208527863374.9956,7982.06927225235,0.0359901651681305,9.873034040581764,11.131810069968404,0.65,2.0,0.002,4,17.301279370383117,69.20511748153247,155.71151433344806,276.8204699261299,0.0005135651639286,0.000253306673927
1.4065701266957285,0.0250031726219981,0.0156867347058864,188897648771.46347,7798.155108050237,0.045041671025116,6.743953233972028,8.929416699249964,0.65,2.0,0.002,4,17.69523637793905,70.7809455117562,159.25712740145147,283.1237820470248,0.0003302376326794,0.0001929569655507
1.008600412069677,0.0469761545030489,0.0160832392358003,189409572613.01825,7883.343204109527,0.0056818768917775,9.089277262713864,67.12119076753784,0.65,2.0,0.002,4,35.14068625992765,140.5627450397106,316.2661763393489,562.2509801588424,3.658322146632164e-05,1.2453985389396838e-05
2.923374325505563,0.0648878325737677,0.0143987335395658,213741074928.38483,7931.488454575896,0.0449691763335561,1.1777120404165915,1.7173163929140822,0.65,2.0,0.002,4,3.965987474678713,15.863949898714852,35.69388727210842,63.45579959485941,0.0004577274891241,0.0002590662564424
1.218712155950003,0.0317732179090919,0.0061786305087407,219206021634.46976,7649.142650364512,0.0140382925517612,8.115888898036253,6.504761808123185,0.65,2.0,0.002,4,10.098085708935928,40.39234283574371,90.88277138042336,161.56937134297485,0.0040111731413361,0.001934892374019
1.7172467853590594,0.0287665210104853,0.0191922654224991,208697867874.77637,7918.476661859665,0.0386619630517439,2.5039098302496003,6.865953517267943,0.65,2.0,0.002,4,15.150545031541846,60.60218012616738,136.3549052838766,242.40872050466956,0.000115329405282,6.405649986171532e-05
1.5458599853855866,0.0369643728966896,0.0142551992856302,186508152528.9978,7665.808033202306,0.0167060001429662,5.455260354613371,22.942382433128174,0.65,2.0,0.002,4,13.342345306148887,53.36938122459555,120.08110775534,213.4775248983822,0.0002864751577173,9.73130805038478e-05
