model,epoch,training_loss,validation_loss
physics_guided_NN,53,0.0028337404713965953,0.014342350885272026
physics_guided_NN,54,0.0034643331944773145,0.013879607431590557
physics_guided_NN,55,0.00419022512241182,0.010914013721048832
physics_guided_NN,56,0.0029304953609508547,0.011097414419054985
physics_guided_NN,57,0.0033015265531668608,0.010492906905710697
physics_guided_NN,58,0.0035852925640276886,0.013926359824836254
physics_guided_NN,59,0.003543137989684262,0.011594004929065704
physics_guided_NN,60,0.003351886788467792,0.011911214329302311
physics_guided_NN,61,0.0025892021388492802,0.011041821911931038
physics_guided_NN,62,0.003203269131269983,0.011389930732548237
physics_guided_NN,63,0.00410868212136186,0.011994571425020695
physics_guided_NN,64,0.0024662140672179786,0.011128571815788746
physics_guided_NN,65,0.0023715847129510206,0.009179370477795601
physics_guided_NN,66,0.0025614914695986295,0.010981694795191288
physics_guided_NN,67,0.002214863727038557,0.009903016500175
physics_guided_NN,68,0.001983186611059037,0.010545074008405209
physics_guided_NN,69,0.001908551967194812,0.01128369476646185
physics_guided_NN,70,0.0020411966082809325,0.009932155720889568
physics_guided_NN,71,0.00211537917970087,0.01141076348721981
physics_guided_NN,72,0.001946919231506234,0.010002341121435165
physics_guided_NN,73,0.002129363530019129,0.009830187074840069
physics_guided_NN,74,0.001840782504190098,0.00995583739131689
physics_guided_NN,75,0.0018777348841963843,0.014826600439846516
physics_guided_NN,76,0.005704251202670011,0.014466100372374058
physics_guided_NN,77,0.005571468800983645,0.012440573424100876
physics_guided_NN,78,0.003214376444124024,0.017513472586870193
physics_guided_NN,79,0.0073386302895166655,0.010279382579028606
physics_guided_NN,80,0.0033517653683454475,0.014772789552807808
physics_guided_NN,81,0.0020489955723116344,0.010744071565568447
physics_guided_NN,82,0.0018154455200684342,0.00969197042286396
physics_guided_NN,83,0.0016049860140562734,0.010505808517336845
physics_guided_NN,84,0.0019508766137402167,0.010650143027305603
physics_guided_NN,85,0.0016901957844807343,0.008979142643511295
physics_guided_NN,86,0.00291597296547314,0.011141243390738964
physics_guided_NN,87,0.0021042849805036727,0.009875975549221039
physics_guided_NN,88,0.0019188389118591494,0.010009465739130974
physics_guided_NN,89,0.0024317631413313476,0.010880733840167522
physics_guided_NN,90,0.002691455495501445,0.00876438058912754
physics_guided_NN,91,0.002514405631121587,0.008714350871741772
physics_guided_NN,92,0.0028156660179692234,0.009285151027143002
physics_guided_NN,93,0.0017239649446723474,0.010476144030690193
physics_guided_NN,94,0.0018971690579994837,0.009753165766596794
physics_guided_NN,95,0.0019197387525557795,0.009194549173116684
physics_guided_NN,96,0.001343196137300269,0.00953686609864235
physics_guided_NN,97,0.0013315586362626743,0.009407767094671726
physics_guided_NN,98,0.0015467211773449725,0.009209977462887764
physics_guided_NN,99,0.001391885323788632,0.009799297899007797
physics_guided_NN,100,0.0015967996256552976,0.010609867051243782
physics_guided_NN,101,0.0016499299630099399,0.00828130915760994
physics_guided_NN,102,0.0014459717129780487,0.00951999332755804
physics_guided_NN,103,0.0020240100693296303,0.007612948305904865
physics_guided_NN,104,0.0034537570307623935,0.009540497325360775
physics_guided_NN,105,0.0040586369514296,0.010810134932398796
physics_guided_NN,106,0.00269456959054382,0.01023502554744482
physics_guided_NN,107,0.0035719975553960962,0.011271260678768158
physics_guided_NN,108,0.002862495735329999,0.010062964633107185
