model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
physics_guided_NN,75,2625,1,124,0.007500220629264645,0.019320746883749962
physics_guided_NN,75,2625,1,125,0.004116666805376077,0.02123894914984703
physics_guided_NN,75,2625,1,126,0.007925805711801374,0.015342069789767265
physics_guided_NN,75,2625,1,127,0.004577344847521523,0.014224993996322155
physics_guided_NN,75,2625,1,128,0.002553106141498401,0.014536680653691292
physics_guided_NN,75,2625,1,129,0.0021175722580491787,0.011406254954636097
physics_guided_NN,75,2625,1,130,0.002151574928402191,0.013361935503780842
physics_guided_NN,75,2625,1,131,0.00248670895511861,0.014494950883090496
physics_guided_NN,75,2625,1,132,0.002977268645606403,0.011330786161124706
physics_guided_NN,75,2625,1,133,0.0028885848351776424,0.012254917994141579
physics_guided_NN,75,2625,1,134,0.0020806286705746537,0.01108747348189354
physics_guided_NN,75,2625,1,135,0.0029599712912126313,0.014649340882897377
physics_guided_NN,75,2625,1,136,0.0021259274542985837,0.010661515407264233
physics_guided_NN,75,2625,1,137,0.0020347447827502732,0.011800402775406837
physics_guided_NN,75,2625,1,138,0.0021195356079953768,0.011343146674335003
physics_guided_NN,75,2625,1,139,0.0015290761532794153,0.012273211032152176
physics_guided_NN,75,2625,1,140,0.0013862943681791269,0.011682889424264431
physics_guided_NN,75,2625,1,141,0.001542939655510487,0.010824084281921387
physics_guided_NN,75,2625,1,142,0.0013254973451001292,0.010970843024551868
physics_guided_NN,75,2625,1,143,0.002373656347723833,0.012043194845318794
physics_guided_NN,75,2625,1,144,0.002214207573117511,0.011366777122020721
physics_guided_NN,75,2625,1,145,0.001673269387711549,0.010589838959276676
physics_guided_NN,75,2625,1,146,0.0022530873095439304,0.015165841206908226
physics_guided_NN,75,2625,1,147,0.001894682345058148,0.011437428183853626
physics_guided_NN,75,2625,1,148,0.0021243632529928747,0.011309794150292873
physics_guided_NN,75,2625,1,149,0.0014121765021367797,0.012149741873145103
physics_guided_NN,75,2625,1,150,0.0018417107182488377,0.0112396739423275
physics_guided_NN,75,2625,1,151,0.0028699274712596975,0.015747856348752975
physics_guided_NN,75,2625,1,152,0.0030665498176988748,0.012255959212779999
physics_guided_NN,75,2625,1,153,0.002520903239547763,0.01491641066968441
physics_guided_NN,75,2625,1,154,0.004041940184487473,0.01667608879506588
physics_guided_NN,75,2625,1,155,0.0027687136302813,0.013849212788045406
physics_guided_NN,75,2625,1,156,0.0023866449552033806,0.011463385075330734
physics_guided_NN,75,2625,1,157,0.0024877569410905595,0.011401322670280933
physics_guided_NN,75,2625,1,158,0.0038761091737320556,0.015757188200950623
physics_guided_NN,75,2625,1,159,0.004380912251127441,0.01217001210898161
